Unnamed: 0,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
600,711113,310-1488,112204995,Male,Grb7,P56,coronal,ISH,2,Nothing,0.9982
619,79355604,335-1131,79588292,Male,Dtnbp1,P56,coronal,ISH,2,Nothing,1.049
623,75064011,06-0433,75650861,Male,Xlr3a,P56,coronal,ISH,2,Nothing,1.049
626,702864,2429,2131,Male,Cstf2,P56,coronal,ISH,2,Nothing,1.63
647,74899330,06-0342,75080644,Male,Synpo,P56,coronal,ISH,2,Nothing,1.049
661,72172843,05-3434,74047909,Male,Rab6a,P56,coronal,ISH,2,Nothing,1.049
694,74580293,06-0214,74819475,Male,Lrtm2,P56,coronal,ISH,2,Nothing,1.049
696,702581,2046,2464,Male,Pax3,P56,coronal,ISH,2,Nothing,1.63
697,70013786,05-2040,70634235,Male,Rfx3,P56,coronal,ISH,2,Nothing,1.049
715,70429625,05-2371,71247631,Male,Grm4,P56,coronal,ISH,2,Nothing,1.049
725,73521874,05-3595,74363337,Male,Fam160a1,P56,coronal,ISH,2,Nothing,1.049
726,71476622,05-3181,73636154,Male,Tmtc1,P56,coronal,ISH,2,Nothing,1.049
730,69977290,05-1976,70613977,Male,Cyp46a1,P56,coronal,ISH,2,Nothing,1.049
734,71227958,05-2969,72109399,Male,Wdfy2,P56,coronal,ISH,2,Nothing,1.049
736,71414611,05-3101,73520973,Male,Cdh7,P56,coronal,ISH,2,Nothing,1.049
740,417716,04-0698,67810541,Male,Mxd4,P56,coronal,ISH,2,Nothing,1.049
756,70013740,05-2027,70616016,Male,Alg1,P56,coronal,ISH,2,Nothing,1.049
757,74703383,06-0253,74881890,Male,R3hdm4,P56,coronal,ISH,2,Nothing,1.049
767,710944,310-1473,112649476,Male,Dvl2,P56,coronal,ISH,2,Nothing,0.9982
768,79355491,335-1125,79556736,Male,Gdap2,P56,coronal,ISH,2,Nothing,1.049
773,71993627,05-3321,73930833,Male,Gm5083,P56,coronal,ISH,2,Nothing,1.049
778,77440616,321-0055,77764944,Female,Gal,P56,coronal,ISH,2,Nothing,1.049
784,702522,1945,746,Male,Ntrk2,P56,coronal,ISH,2,Nothing,1.63
785,74834168,06-0314,75042241,Male,Abcc4,P56,coronal,ISH,2,Nothing,1.049
786,70309795,05-2273,71015809,Male,Gpr18,P56,coronal,ISH,2,Nothing,1.049
812,79322568,335-1082,79488955,Male,Avpr1b,P56,coronal,ISH,2,Nothing,1.049
821,73634011,05-3718,74581443,Male,Panx2,P56,coronal,ISH,2,Nothing,1.049
827,77238055,07-0015,77340474,Male,C1qc,P56,coronal,ISH,2,Nothing,1.049
828,72008723,05-3347,73931637,Male,Lrrtm3,P56,coronal,ISH,2,Nothing,1.049
829,70822203,05-2616,71670677,Male,Npnt,P56,coronal,ISH,2,Nothing,1.049
854,79355511,335-1130,79587720,Male,Bdnf,P56,coronal,ISH,2,Nothing,1.049
860,77407863,321-0133,78525754,Male,Rprm,P56,coronal,ISH,2,Nothing,1.049
895,75195287,06-0498,75988492,Male,Mapk12,P56,coronal,ISH,2,Nothing,1.049
908,702815,2376,1922,Male,Slc4a10,P56,coronal,ISH,2,Nothing,1.63
925,75064248,06-0438,75651128,Male,Adamts18,P56,coronal,ISH,2,Nothing,1.049
974,70896862,05-2653,71670701,Male,Trappc1,P56,coronal,ISH,2,Nothing,1.049
988,74481146,06-0166,74743270,Male,Pcdhb19,P56,coronal,ISH,2,Nothing,1.049
993,73425261,05-3522,74357562,Male,Moxd1,P56,coronal,ISH,2,Nothing,1.049
999,71393115,05-3096,73512501,Male,Stap2,P56,coronal,ISH,2,Nothing,1.049
1003,702500,1919,275,Male,Clu,P56,coronal,ISH,2,Nothing,1.63
1006,702579,2044,558,Male,Hgf,P56,coronal,ISH,2,Nothing,1.63
1007,702513,1935,900,Male,Rora,P56,coronal,ISH,2,Nothing,1.63
1008,702765,2314,1261,Male,Pfn2,P56,coronal,ISH,2,Nothing,1.63
1009,702468,1865,1587,Male,Rwdd2b,P56,coronal,ISH,2,Nothing,1.63
1010,702797,2350,2149,Male,Dkk1,P56,coronal,ISH,2,Nothing,1.63
1011,83825,04-0201,322963,Male,Cep78,P56,coronal,ISH,2,Nothing,1.049
1014,70404855,05-2354,71064061,Male,Col9a1,P56,coronal,ISH,2,Nothing,1.049
1015,73989811,06-0034,74658077,Male,E330009J07Rik,P56,coronal,ISH,2,Nothing,1.049
1016,77294044,07-0032,77414160,Male,Gng2,P56,coronal,ISH,2,Nothing,1.049
1017,78093641,321-0721,78525736,Male,Rprm,P56,coronal,ISH,2,Nothing,1.049
1063,71339080,05-3064,72472775,Male,Tnks,P56,coronal,ISH,2,Nothing,1.049
1070,71083051,05-2841,71923998,Male,Itpk1,P56,coronal,ISH,2,Nothing,1.049
1089,75749877,06-0683,76097700,Male,Tnfaip8l3,P56,coronal,ISH,2,Nothing,1.049
1137,77232707,07-0009,77280582,Male,Ly6g6e,P56,coronal,ISH,2,Nothing,1.049
1140,74703313,06-0252,74881827,Male,Bap1,P56,coronal,ISH,2,Nothing,1.049
1142,702849,2413,2429,Male,Nkiras2,P56,coronal,ISH,2,Nothing,1.63
1148,702687,2216,844,Male,Npepps,P56,coronal,ISH,2,Nothing,1.63
1156,71185726,05-2927,72077456,Male,Crispld1,P56,coronal,ISH,2,Nothing,1.049
1162,69619560,05-1631,70436729,Male,Slc38a3,P56,coronal,ISH,2,Nothing,1.049
1173,74878329,06-0329,75079801,Male,Cit,P56,coronal,ISH,2,Nothing,1.049
1178,77232683,07-0003,77278977,Male,Slc9a7,P56,coronal,ISH,2,Nothing,1.049
1192,73633892,05-3702,74512028,Male,A830036E02Rik,P56,coronal,ISH,2,Nothing,1.049
1197,702779,2330,1914,Male,Rnf128,P56,coronal,ISH,2,Nothing,1.63
1205,75023609,06-0383,75144693,Male,P2ry2,P56,coronal,ISH,2,Nothing,1.049
1208,74785070,06-0297,74988735,Male,Sf3b2,P56,coronal,ISH,2,Nothing,1.049
1223,70822203,05-2616,71670681,Male,Pald1,P56,coronal,ISH,2,Nothing,1.049
1224,72962240,05-3488,74272040,Male,Hist1h1b,P56,coronal,ISH,2,Nothing,1.049
1233,71444954,05-3141,73635772,Male,Sccpdh,P56,coronal,ISH,2,Nothing,1.049
1235,72172807,05-3435,74047915,Male,Atp6v1d,P56,coronal,ISH,2,Nothing,1.049
1239,74741214,06-0275,74958537,Male,Il17rd,P56,coronal,ISH,2,Nothing,1.049
1246,77385531,321-0083,78557165,Male,Wfs1,P56,coronal,ISH,2,Nothing,1.049
1253,73651972,05-3729,74641113,Male,Nav2,P56,coronal,ISH,2,Nothing,1.049
1265,74481163,06-0170,74749942,Male,Sgcz,P56,coronal,ISH,2,Nothing,1.049
1270,702840,2404,1637,Male,Ufc1,P56,coronal,ISH,2,Nothing,1.63
1273,79338765,335-1118,79556618,Male,Cux1,P56,coronal,ISH,2,Nothing,1.049
1283,70298689,05-2263,71015801,Male,Zfp521,P56,coronal,ISH,2,Nothing,1.049
1292,71903167,05-3280,73817935,Male,Ube2k,P56,coronal,ISH,2,Nothing,1.049
1307,74833955,06-0307,75041431,Male,Six3os1,P56,coronal,ISH,2,Nothing,1.049
1320,73540630,05-3604,74425518,Male,Dynlt3,P56,coronal,ISH,2,Nothing,1.049
1340,71120791,05-2882,71924412,Male,Greb1,P56,coronal,ISH,2,Nothing,1.049
1345,74553737,06-0200,74819258,Male,Hs6st1,P56,coronal,ISH,2,Nothing,1.049
1385,73540545,05-3601,74363342,Male,Foxred2,P56,coronal,ISH,2,Nothing,1.049
1393,71250816,05-2987,72129250,Male,Ralyl,P56,coronal,ISH,2,Nothing,1.049
1396,70041775,05-2045,70634296,Male,Bag2,P56,coronal,ISH,2,Nothing,1.049
1415,71414593,05-3099,73520964,Male,Baalc,P56,coronal,ISH,2,Nothing,1.049
1416,74833327,06-0301,74988755,Male,Lonrf2,P56,coronal,ISH,2,Nothing,1.049
1421,74481150,06-0167,74743303,Male,Ptprk,P56,coronal,ISH,2,Nothing,1.049
1425,77415317,321-0160,77790635,Male,Cckbr,P56,coronal,ISH,2,Nothing,1.049
1440,71299316,05-3032,72340233,Male,Amph,P56,coronal,ISH,2,Nothing,1.049
1455,702583,2048,2117,Male,Cpt1c,P56,coronal,ISH,2,Nothing,1.63
1469,83898,04-0219,323397,Male,Pdha1,P56,coronal,ISH,2,Nothing,1.049
1491,77407875,321-0136,78591330,Male,Calb1,P56,coronal,ISH,2,Nothing,1.049
1493,70430524,05-2386,71249079,Male,Glt8d2,P56,coronal,ISH,2,Nothing,1.049
1498,71903154,05-3297,73925724,Male,Lppr3,P56,coronal,ISH,2,Nothing,1.049
1499,73651964,05-3725,74586665,Male,Glipr1,P56,coronal,ISH,2,Nothing,1.049
1502,702539,1973,35,Male,Hepacam,P56,coronal,ISH,2,Nothing,1.63
1503,74784500,06-0288,74988454,Male,Aacs,P56,coronal,ISH,2,Nothing,1.049
1505,702493,1909,110,Male,Arf3,P56,coronal,ISH,2,Nothing,1.63
1512,702536,1968,1317,Male,Taf1d,P56,coronal,ISH,2,Nothing,1.63
1514,702587,2052,1510,Male,Mtf2,P56,coronal,ISH,2,Nothing,1.63
1516,83825,04-0201,321208,Male,Fbln2,P56,coronal,ISH,2,Nothing,1.049
1519,73502205,05-3561,74357577,Male,Gdap10,P56,coronal,ISH,2,Nothing,1.049
1577,702525,1948,2519,Male,Rangap1,P56,coronal,ISH,2,Nothing,1.63
1580,71227926,05-2972,72119581,Male,Cadps,P56,coronal,ISH,2,Nothing,1.049
1588,71393089,05-3094,73512483,Male,Ap3s1,P56,coronal,ISH,2,Nothing,1.049
1591,702559,2008,2547,Male,P3h4,P56,coronal,ISH,2,Nothing,1.63
1609,71299303,05-3030,72340183,Male,6330403A02Rik,P56,coronal,ISH,2,Nothing,1.049
1612,77232695,07-0006,77280417,Male,Liph,P56,coronal,ISH,2,Nothing,1.049
1628,702872,2438,2595,Male,Slc26a7,P56,coronal,ISH,2,Nothing,1.63
1640,71478425,05-3196,73732150,Male,Fam81a,P56,coronal,ISH,2,Nothing,1.049
1659,71444932,05-3131,73592537,Male,Tmem65,P56,coronal,ISH,2,Nothing,1.049
1667,77385523,321-0081,78525712,Male,Rprm,P56,coronal,ISH,2,Nothing,1.049
1676,79338769,335-1119,79556624,Male,Reln,P56,coronal,ISH,2,Nothing,1.049
1686,72172847,05-3436,74047916,Male,Glo1,P56,coronal,ISH,2,Nothing,1.049
1689,79398735,335-1186,79908848,Male,Snca,P56,coronal,ISH,2,Nothing,1.049
1691,702678,2204,2053,Male,Axin1,P56,coronal,ISH,2,Nothing,1.63
1701,71887454,05-3262,73817434,Male,Nefm,P56,coronal,ISH,2,Nothing,1.049
1705,75064115,06-0432,75551473,Male,P2rx2,P56,coronal,ISH,2,Nothing,1.049
1722,71035669,05-2793,71836799,Male,Rassf3,P56,coronal,ISH,2,Nothing,1.049
1728,73568187,05-3628,74425566,Male,Ifltd1,P56,coronal,ISH,2,Nothing,1.049
1734,70073472,05-2069,70743841,Male,Mrpl12,P56,coronal,ISH,2,Nothing,1.049
1737,71083047,05-2839,71920519,Male,Sertad4,P56,coronal,ISH,2,Nothing,1.049
1746,79338769,335-1119,79556632,Male,Syt12,P56,coronal,ISH,2,Nothing,1.049
1759,72672,04-0188,321204,Male,Sar1a,P56,coronal,ISH,2,Nothing,1.049
1764,71444945,05-3137,73616023,Male,St3gal1,P56,coronal,ISH,2,Nothing,1.049
1786,77458264,321-0049,77792761,Female,Htr2c,P56,coronal,ISH,2,Nothing,1.049
1787,73425187,05-3521,74357559,Male,Pou6f1,P56,coronal,ISH,2,Nothing,1.049
1791,70397049,05-2332,71020431,Male,Gpc3,P56,coronal,ISH,2,Nothing,1.049
1801,702614,2095,1235,Male,Nbr1,P56,coronal,ISH,2,Nothing,1.63
1803,71476515,05-3174,73636095,Male,Pcdh17,P56,coronal,ISH,2,Nothing,1.049
1808,79355645,335-1140,79591719,Male,Gria1,P56,coronal,ISH,2,Nothing,1.049
1819,70430524,05-2386,71249083,Male,Ube2ql1,P56,coronal,ISH,2,Nothing,1.049
1838,72962232,05-3486,74047925,Male,Ank3,P56,coronal,ISH,2,Nothing,1.049
1839,75180145,06-0477,75749739,Male,Crtac1,P56,coronal,ISH,2,Nothing,1.049
1859,72656,04-0184,293034,Male,Tcf25,P56,coronal,ISH,2,Nothing,1.049
1863,72010441,05-3373,73992945,Male,Dgkh,P56,coronal,ISH,2,Nothing,1.049
1867,702525,1948,2159,Male,Reep5,P56,coronal,ISH,2,Nothing,1.63
1869,75078577,06-0445,75651226,Male,Smpd4,P56,coronal,ISH,2,Nothing,1.049
1873,71167178,05-2910,72007935,Male,Sulf2,P56,coronal,ISH,2,Nothing,1.049
1885,71903188,05-3290,73907498,Male,Fzd9,P56,coronal,ISH,2,Nothing,1.049
1889,72008727,05-3349,73931643,Male,Rab37,P56,coronal,ISH,2,Nothing,1.049
1895,71227926,05-2972,72119591,Male,Ngef,P56,coronal,ISH,2,Nothing,1.049
1896,79355641,335-1138,79591679,Male,Slc6a4,P56,coronal,ISH,2,Nothing,1.049
1910,70929707,05-2701,71670744,Male,LOC381557,P56,coronal,ISH,2,Nothing,1.049
1920,711111,310-1486,112203056,Male,Ptger4,P56,coronal,ISH,2,Nothing,0.9982
1928,71167169,05-2906,72007751,Male,Erp29,P56,coronal,ISH,2,Nothing,1.049
1939,74703362,06-0262,74882616,Male,Hspb6,P56,coronal,ISH,2,Nothing,1.049
1946,73817974,06-0007,74657923,Male,Thbs3,P56,coronal,ISH,2,Nothing,1.049
1951,71392996,05-3087,73512191,Male,TC1410973,P56,coronal,ISH,2,Nothing,1.049
1956,74565895,06-0204,74819332,Male,Tro,P56,coronal,ISH,2,Nothing,1.049
1959,71101517,05-2872,71924364,Male,Rnf220,P56,coronal,ISH,2,Nothing,1.049
1962,70230623,05-2231,70928338,Male,Arg2,P56,coronal,ISH,2,Nothing,1.049
1965,73573616,05-3647,74511837,Male,Ndst4,P56,coronal,ISH,2,Nothing,1.049
1987,77238047,07-0013,77332748,Male,Svil,P56,coronal,ISH,2,Nothing,1.049
1992,74834137,06-0311,75041548,Male,Dock6,P56,coronal,ISH,2,Nothing,1.049
1999,700643,04-0819,67936016,Male,Tfam,P56,coronal,ISH,2,Nothing,1.049
2002,702533,1965,255,Male,Chd2,P56,coronal,ISH,2,Nothing,1.63
2005,702783,2334,1239,Male,Nfia,P56,coronal,ISH,2,Nothing,1.63
2006,702581,2046,1422,Male,Sox9,P56,coronal,ISH,2,Nothing,1.63
2007,702823,2386,1874,Male,Hnf1b,P56,coronal,ISH,2,Nothing,1.63
2008,702791,2343,2287,Male,Hes3,P56,coronal,ISH,2,Nothing,1.63
2009,702780,2331,2357,Male,Kpna1,P56,coronal,ISH,2,Nothing,1.63
2057,75195266,06-0492,75774677,Male,Arhgdia,P56,coronal,ISH,2,Nothing,1.049
2081,71101536,05-2863,71924204,Male,Pde10a,P56,coronal,ISH,2,Nothing,1.049
2088,72624,04-0176,276067,Male,Rpl11,P56,coronal,ISH,2,Nothing,1.049
2089,702486,1902,168,Male,Btg3,P56,coronal,ISH,2,Nothing,1.63
2093,702770,2319,1148,Male,Crls1,P56,coronal,ISH,2,Nothing,1.63
2100,77431363,321-0041,77790667,Female,Ncoa1,P56,coronal,ISH,2,Nothing,1.049
2105,70073507,05-2076,70743871,Male,Nacc2,P56,coronal,ISH,2,Nothing,1.049
2118,71993643,05-3329,73931408,Male,Mlip,P56,coronal,ISH,2,Nothing,1.049
2128,72147809,05-3399,74047771,Male,Gnb4,P56,coronal,ISH,2,Nothing,1.049
2147,71185713,05-2926,72103841,Male,Col4a6,P56,coronal,ISH,2,Nothing,1.049
2172,77448587,321-0066,77766037,Female,Npy1r,P56,coronal,ISH,2,Nothing,1.049
2184,73806603,06-0005,74641318,Male,Htr3b,P56,coronal,ISH,2,Nothing,1.049
2189,74083207,06-0079,74658238,Male,Micu1,P56,coronal,ISH,2,Nothing,1.049
2207,70896947,05-2659,71670722,Male,Kctd8,P56,coronal,ISH,2,Nothing,1.049
2209,73977227,06-0024,74657929,Male,Nhlh2,P56,coronal,ISH,2,Nothing,1.049
2211,77238075,07-0020,77371795,Male,Matn4,P56,coronal,ISH,2,Nothing,1.049
2225,74481163,06-0170,74749941,Male,Sgcg,P56,coronal,ISH,2,Nothing,1.049
2231,72147817,05-3403,74047777,Male,Epb4.1l1,P56,coronal,ISH,2,Nothing,1.049
2232,74834133,06-0310,75041526,Male,Rgag1,P56,coronal,ISH,2,Nothing,1.049
2233,702481,1897,1522,Male,Prrx2,P56,coronal,ISH,2,Nothing,1.63
2239,77294080,07-0037,77414925,Male,Ppp2r3d,P56,coronal,ISH,2,Nothing,1.049
2251,74834150,06-0312,75041573,Male,Rufy4,P56,coronal,ISH,2,Nothing,1.049
2253,702831,2395,1946,Male,Micu2,P56,coronal,ISH,2,Nothing,1.63
2261,71298843,05-3029,72340129,Male,Cmklr1,P56,coronal,ISH,2,Nothing,1.049
2262,74565883,06-0207,74819346,Male,Ssrp1,P56,coronal,ISH,2,Nothing,1.049
2287,702772,2323,1375,Male,Samd3,P56,coronal,ISH,2,Nothing,1.63
2305,77431371,321-0070,77764117,Female,Avpr1a,P56,coronal,ISH,2,Nothing,1.049
2307,70897029,05-2654,71670710,Male,Zyx,P56,coronal,ISH,2,Nothing,1.049
2312,70911361,05-2687,71670737,Male,Esr2,P56,coronal,ISH,2,Nothing,1.049
2332,70379896,05-2303,71016617,Male,Blcap,P56,coronal,ISH,2,Nothing,1.049
2340,77385455,321-0036,77792753,Female,Htr2c,P56,coronal,ISH,2,Nothing,1.049
2353,79857047,321-1529,80413070,Male,Rorb,P56,coronal,ISH,2,Nothing,1.049
2380,70123628,05-2153,70813896,Male,C1ra,P56,coronal,ISH,2,Nothing,1.049
2386,74580301,06-0216,74819575,Male,D11Wsu47e,P56,coronal,ISH,2,Nothing,1.049
2393,702802,2355,1303,Male,Trhr,P56,coronal,ISH,2,Nothing,1.63
2401,71444936,05-3133,73615560,Male,Cacng3,P56,coronal,ISH,2,Nothing,1.049
2403,73620041,05-3683,74511924,Male,Sorl1,P56,coronal,ISH,2,Nothing,1.049
2442,71525691,05-3204,73769327,Male,Neurl1a,P56,coronal,ISH,2,Nothing,1.049
2455,71414611,05-3101,73520974,Male,Cpne8,P56,coronal,ISH,2,Nothing,1.049
2467,71227922,05-2970,72109445,Male,Dlg4,P56,coronal,ISH,2,Nothing,1.049
2479,702485,1901,741,Male,Nrtn,P56,coronal,ISH,2,Nothing,1.63
2482,71444940,05-3135,73615782,Male,Masp1,P56,coronal,ISH,2,Nothing,1.049
2492,70101566,05-2125,70805934,Male,Loxl1,P56,coronal,ISH,2,Nothing,1.049
2500,101534,04-0314,544901,Male,Clptm1,P56,coronal,ISH,2,Nothing,1.049
2502,71476731,05-3193,73732144,Male,Entpd2,P56,coronal,ISH,2,Nothing,1.049
2503,71250768,05-2982,72128746,Male,Psd,P56,coronal,ISH,2,Nothing,1.049
2504,702615,2096,314,Male,Tnrc6a,P56,coronal,ISH,2,Nothing,1.63
2507,702502,1921,414,Male,Cntn1,P56,coronal,ISH,2,Nothing,1.63
2509,702626,2112,539,Male,Grm3,P56,coronal,ISH,2,Nothing,1.63
2510,702631,2122,743,Male,Ybx1,P56,coronal,ISH,2,Nothing,1.63
2511,702535,1967,1187,Male,Ctsl,P56,coronal,ISH,2,Nothing,1.63
2512,702526,1949,1345,Male,Dpysl4,P56,coronal,ISH,2,Nothing,1.63
2513,702807,2361,1619,Male,Gpr108,P56,coronal,ISH,2,Nothing,1.63
2514,702842,2406,1717,Male,Folr2,P56,coronal,ISH,2,Nothing,1.63
2515,702820,2383,2099,Male,Cmtm3,P56,coronal,ISH,2,Nothing,1.63
2516,702845,2409,2329,Male,Irf9,P56,coronal,ISH,2,Nothing,1.63
2517,702487,1903,2725,Male,Wnt10b,P56,coronal,ISH,2,Nothing,1.63
2519,72587,04-0167,276271,Male,Pyurf,P56,coronal,ISH,2,Nothing,1.049
2520,382822,04-0668,67809268,Male,Ogfr,P56,coronal,ISH,2,Nothing,1.049
2522,69837595,05-1844,70560340,Male,Cacnb3,P56,coronal,ISH,2,Nothing,1.049
2523,71101536,05-2863,71924155,Male,Thsd7a,P56,coronal,ISH,2,Nothing,1.049
2524,71393089,05-3094,73512495,Male,Adcy4,P56,coronal,ISH,2,Nothing,1.049
2525,74865176,06-0324,75043154,Male,Rbmx,P56,coronal,ISH,2,Nothing,1.049
2544,79338769,335-1119,79556628,Male,Arhgdig,P56,coronal,ISH,2,Nothing,1.049
2570,77385555,321-0086,78633134,Male,Cap1,P56,coronal,ISH,2,Nothing,1.049
2581,702566,2030,357,Male,Drd2,P56,coronal,ISH,2,Nothing,1.63
